Capital Royal Renovations,Bathroom Renovation,Ottawa ON K2M 2N6,613-240-1224,https://capitalroyalrenovations.com/
Kovar Contracting Inc,Roofing,14 Knoll Terrace Ottawa ON K2J 2K6,613-799-1704,http://www.kovarcontracting.com/
Trafford General Contracting,Bathroom Renovation,Ottawa ON K2J 0C4,613-899-4096,http://www.kovarcontracting.com/
Penguin Basements,Basement Renovation,906 Magnetic Drive Toronto ON M3J 2C4,866-262-8298,http://www.basementscanada.com/
Healthy Home Center,Mold Detection & Removal,Ottawa ON K2S 1W3,613-725-7733,http://www.healthyhomecenter.ca/
The Anything Guys,Basement Renovation,17 Grenfell Crescent UNIT #3 Ottawa ON K2G 0G3,613-301-3549,http://www.theanythingguys.com/
Expert Property Enhancements,Chimney Build & Repair,Ottawa ON K2J 5C4,613-915-9104,http://www.epenhancements.com/
Ottawa General Contractors,Basement Renovation,"1886 Merivale Road, suite 200. Ottawa ON K2G",613-225-9991,http://www.ottawageneralcontractors.com/
Elfarro Design Build,General Contractors,890 Woodroffe Ave. Ottawa ON K2A 3G3,894-6554,https://www.elfarro.com/
Trehane Carpentry Inc,Basement Renovation,Ottawa ON K2J 4C5,613-913-9168,http://www.trehanecarpentry.com/
Magnolia Construction,General Contractors,Ottawa ON K2E 7Z9,613-617-5157,https://magnoliaconstruction.ca/
FRC INC - Renovations and Construction,Carpenters,Ottawa ON K2J 5Z4,343-998-9613,https://www.constructionfrc.com/
Abloom Contracting,Drywall Contractors,ON K0A 2W0,613-822-6560,https://abloomlandscape.com/
Trafford General Contracting,Bathroom Renovation,Ottawa ON K2J 0C4,613-899-4096,https://abloomlandscape.com/
Arama Renos,General Contractors,26 Sedona Street Ottawa ON K2J 4K4,437-970-4513,https://abloomlandscape.com/
Stevenson Renovations,Bathroom Renovation,New Tecumseth ON L0G,613-794-5200,http://www.stevensonrenovations.com/
Arama Renos,General Contractors,26 Sedona Street Ottawa ON K2J 4K4,437-970-4513,http://www.stevensonrenovations.com/
Alteck Group Ltd.,General Contractors,Ottawa ON K2P 0A4,613-799-6975,https://www.alteckgroupltd.com/
Capolavoro Renovation Inc,Basement Renovation,Ottawa ON K2L 1S1,613-858-6442,http://capolavororenovation.com/
Home Smiths Inc.,Home Office Renovation,Ottawa ON K2G 3S1,613-299-2225,https://homesmithsinc.com/
Daniel Bray Renovations,General Contractors,Alexandria ON K0C 1A0,613-255-7612,http://www.danbrayrenovation.com/
Holland Homes And Renovations,Design/Build,841 Connaught Ottawa ON K2B 5M5,613-725-7366,http://hollandrenos.ca/
Top Renovations,Basement Renovation,Ottawa ON K2A 1A1,343-988-1813,https://topreno.ca/
Trafford General Contracting,Bathroom Renovation,Ottawa ON K2J 0C4,613-899-4096,http://www.basementscanada.com/
